,Site,TimePeriod,d18O,std_d18O,num_d18O,d13C,std_d13C,num_d13C
0,odp1209,3500 ka - M2,,,0,,,0
1,odp1209,M2,3.8375000000000004,0.12093386622447826,4,-0.255,0.15545631755148023,4
2,odp1209,mPWP-1,3.4106249999999996,0.10889288907142917,32,0.165,0.09860314723760744,32
3,odp1209,KM2,3.67625,0.07652030542840987,8,-0.19625,0.1399936223037117,8
4,odp1209,mPWP-2,3.5438888888888886,0.0818994282023341,18,-0.04611111111111112,0.11484715617308838,18
5,odp1209,G20,3.69375,0.04206712323350445,8,-0.09125000000000001,0.1356926674511191,8
6,odp1209,G20 - 2800 ka,,,0,,,0
7,odp1209,iNHG,,,0,,,0
8,odp1018,3500 ka - M2,2.657222222222222,0.17943721023884834,18,-0.2766666666666666,0.21505129347095175,18
9,odp1018,M2,2.67,,1,-0.03,,1
10,odp1018,mPWP-1,2.505,0.4737615433949868,2,-0.35,0.05656854249492382,2
11,odp1018,KM2,2.77,,1,0.01,,1
12,odp1018,mPWP-2,2.88,0.05656854249492385,2,-0.26,0.12727922061357852,2
13,odp1018,G20,,,0,,,0
14,odp1018,G20 - 2800 ka,2.6740000000000004,0.039749213828703646,5,-0.174,0.10830512453249845,5
15,odp1018,iNHG,3.1799999999999997,0.15716233645501715,3,-0.8133333333333335,0.25106440076867403,3
16,odp1148,3500 ka - M2,3.0316666666666667,0.6960334043707959,9,-0.10888888888888888,0.30148277083626374,9
17,odp1148,M2,2.7475,0.12091525958289981,2,-0.3055,0.014849242404917511,2
18,odp1148,mPWP-1,2.740428571428571,0.3985431206878611,7,-0.7545714285714286,0.5645835802143195,7
19,odp1148,KM2,3.1672000000000002,0.3590733908270008,5,-0.37160000000000004,0.6109691481572536,5
20,odp1148,mPWP-2,2.7600000000000002,0.45656927185258545,5,-0.25799999999999995,0.372904813591887,5
21,odp1148,G20,3.68,0.13779211394948054,4,0.1545,0.0745050333870135,4
22,odp1148,G20 - 2800 ka,3.360186046511628,0.5321129156849698,43,0.057,0.3129725379706813,43
23,odp1148,iNHG,3.3120952380952375,0.39708902084569214,21,-0.23042857142857145,0.21263127037869367,21
24,odp1014,3500 ka - M2,1.91,,1,-0.07,,1
25,odp1014,M2,,,0,,,0
26,odp1014,mPWP-1,1.93,,1,-0.27,,1
