Site,TimePeriod,d18O,d13C
h4_odp1209,3500 ka - M2,,
h1_odp1018,3500 ka - M2,2.65722,-0.27667
h6_odp1148,3500 ka - M2,3.03167,-0.10889
h3_odp1014,3500 ka - M2,1.91000,-0.07000
h15_odp1125,3500 ka - M2,2.81667,-0.55593
h5_odp1210,3500 ka - M2,,
h2_odp1208,3500 ka - M2,3.26130,-0.03868
h12_odp1239,3500 ka - M2,3.01029,-0.30647
h16_dsdp594,3500 ka - M2,3.43935,0.09226
h7_odp1143,3500 ka - M2,3.04561,-0.21443
h8_odp1241,3500 ka - M2,3.15569,-0.24923
h11_dsdp586,3500 ka - M2,3.14250,0.10750
iodpU1338,3500 ka - M2,3.22509,-0.01548
h9_odp806,3500 ka - M2,2.50333,0.02591
h10_odp849,3500 ka - M2,3.77745,-0.07314
mp1_odp1123,3500 ka - M2,3.36820,0.17344
h14_dsdp593,3500 ka - M2,2.00579,0.87055
h13_odp846,3500 ka - M2,3.19353,-0.33365
odp1123,3500 ka - M2,3.36820,0.17344
