Site,TimePeriod,d18O,d13C
h4_odp1209,G20,3.69375,-0.09125
h1_odp1018,G20,,
h6_odp1148,G20,3.68000,0.15450
h3_odp1014,G20,1.99667,-0.32000
h15_odp1125,G20,3.09000,-0.79900
h5_odp1210,G20,3.70800,-0.31300
h2_odp1208,G20,3.56778,-0.33926
h12_odp1239,G20,3.14933,-0.34200
h16_dsdp594,G20,3.62625,-0.10500
h7_odp1143,G20,3.35633,-0.44183
h8_odp1241,G20,3.63857,-0.32429
h11_dsdp586,G20,2.99000,0.17000
iodpU1338,G20,3.57833,-0.35600
h9_odp806,G20,2.89111,-0.09000
h10_odp849,G20,3.80222,0.13667
mp1_odp1123,G20,3.47992,0.17692
h14_dsdp593,G20,2.09910,0.88700
h13_odp846,G20,3.44308,-0.37000
odp1123,G20,3.47992,0.17692
