Site,TimePeriod,d18O,d13C
h4_odp1209,G20 - 2800 ka,,
h1_odp1018,G20 - 2800 ka,2.67400,-0.17400
h6_odp1148,G20 - 2800 ka,3.36019,0.05700
h3_odp1014,G20 - 2800 ka,2.15846,-0.27308
h15_odp1125,G20 - 2800 ka,2.92821,-0.49923
h5_odp1210,G20 - 2800 ka,,
h2_odp1208,G20 - 2800 ka,3.43807,-0.00046
h12_odp1239,G20 - 2800 ka,3.22971,-0.31029
h16_dsdp594,G20 - 2800 ka,3.43891,0.41761
h7_odp1143,G20 - 2800 ka,3.32947,-0.12986
h8_odp1241,G20 - 2800 ka,3.59215,-0.08522
h11_dsdp586,G20 - 2800 ka,3.08000,-0.04000
iodpU1338,G20 - 2800 ka,3.50750,-0.32200
h9_odp806,G20 - 2800 ka,2.79745,0.08686
h10_odp849,G20 - 2800 ka,4.08292,-0.08542
mp1_odp1123,G20 - 2800 ka,3.66830,0.19810
h14_dsdp593,G20 - 2800 ka,2.05962,0.81073
h13_odp846,G20 - 2800 ka,3.36690,-0.26130
odp1123,G20 - 2800 ka,3.66830,0.19810
