Site,TimePeriod,d18O,d13C
h4_odp1209,KM2,3.67625,-0.19625
h1_odp1018,KM2,2.77000,0.01000
h6_odp1148,KM2,3.16720,-0.37160
h3_odp1014,KM2,1.84000,-0.05000
h15_odp1125,KM2,2.81733,-0.75467
h5_odp1210,KM2,3.64175,-0.32975
h2_odp1208,KM2,3.48190,-0.29600
h12_odp1239,KM2,3.26538,-0.48231
h16_dsdp594,KM2,3.34375,-0.36875
h7_odp1143,KM2,3.35010,-0.39520
h8_odp1241,KM2,3.31273,-0.45091
h11_dsdp586,KM2,3.04000,-0.01000
iodpU1338,KM2,3.32270,-0.21850
h9_odp806,KM2,2.71600,-0.08900
h10_odp849,KM2,4.04875,-0.44625
mp1_odp1123,KM2,3.90400,-0.28900
h14_dsdp593,KM2,2.23575,0.77200
h13_odp846,KM2,3.59647,-0.40647
odp1123,KM2,3.90400,-0.28900
