Site,TimePeriod,d18O,d13C
h4_odp1209,M2,3.83750,-0.25500
h1_odp1018,M2,2.67000,-0.03000
h6_odp1148,M2,2.74750,-0.30550
h3_odp1014,M2,,
h15_odp1125,M2,2.69857,-0.63714
h5_odp1210,M2,3.92440,-0.40180
h2_odp1208,M2,3.84222,-0.36889
h12_odp1239,M2,3.40700,-0.44700
h16_dsdp594,M2,3.55400,-0.39800
h7_odp1143,M2,3.64870,-0.33610
h8_odp1241,M2,3.60667,-0.52833
h11_dsdp586,M2,,
iodpU1338,M2,3.24900,-0.36600
h9_odp806,M2,2.99167,-0.16333
h10_odp849,M2,3.96571,-0.02714
mp1_odp1123,M2,3.87900,-0.03640
h14_dsdp593,M2,2.54523,0.74400
h13_odp846,M2,3.73000,-0.41800
odp1123,M2,3.87900,-0.03640
