Site,TimePeriod,d18O,d13C
h4_odp1209,iNHG,,
h1_odp1018,iNHG,3.18000,-0.81333
h6_odp1148,iNHG,3.31210,-0.23043
h3_odp1014,iNHG,2.56000,-0.27222
h15_odp1125,iNHG,,
h5_odp1210,iNHG,,
h2_odp1208,iNHG,3.59589,-0.12804
h12_odp1239,iNHG,3.46575,-0.38350
h16_dsdp594,iNHG,3.49333,0.35167
h7_odp1143,iNHG,3.44752,-0.10215
h8_odp1241,iNHG,3.63000,-0.12125
h11_dsdp586,iNHG,3.59000,-0.18500
iodpU1338,iNHG,,
h9_odp806,iNHG,2.81469,0.04031
h10_odp849,iNHG,4.05074,-0.09630
mp1_odp1123,iNHG,3.66700,0.32100
h14_dsdp593,iNHG,2.18303,1.00150
h13_odp846,iNHG,3.37596,-0.23000
odp1123,iNHG,3.66700,0.32100
