Site,TimePeriod,d18O,d13C
h4_odp1209,mPWP-2,3.54389,-0.04611
h1_odp1018,mPWP-2,2.88000,-0.26000
h6_odp1148,mPWP-2,2.76000,-0.25800
h3_odp1014,mPWP-2,1.92400,-0.12600
h15_odp1125,mPWP-2,2.83231,-0.64297
h5_odp1210,mPWP-2,3.48462,-0.06938
h2_odp1208,mPWP-2,3.24016,-0.04885
h12_odp1239,mPWP-2,3.16163,-0.49694
h16_dsdp594,mPWP-2,3.33913,0.31174
h7_odp1143,mPWP-2,3.18185,-0.16200
h8_odp1241,mPWP-2,3.37415,-0.15375
h11_dsdp586,mPWP-2,3.29000,0.05000
iodpU1338,mPWP-2,3.29711,-0.13326
h9_odp806,mPWP-2,2.58400,0.10450
h10_odp849,mPWP-2,3.78350,-0.10950
mp1_odp1123,mPWP-2,3.30723,0.38350
h14_dsdp593,mPWP-2,2.01530,0.83550
h13_odp846,mPWP-2,3.11571,-0.26571
odp1123,mPWP-2,3.30723,0.38350
