Site,TimePeriod,d18O,std_d18O,num_d18O,d13C,std_d13C,num_d13C,predicted_cluster,latitude,longitude,depth
odp1018,Early Pleistocene,3.0575,0.173159149,12,-0.63,0.2920772,12,1,36.9833,-123.2833,2467
odp1148,Early Pleistocene,3.307905797,0.374642289,138,-0.164304348,0.254363026,138,1,18.8361,116.5655,3297
odp1014,Early Pleistocene,2.914210526,0.289584296,19,-0.363684211,0.281132838,19,1,32.8167,-119.9667,1177
odp1208,Early Pleistocene,3.649215686,0.263593005,255,-0.222459016,0.20723463,244,2,36.1272,158.2016,3345.7
odp1143,Early Pleistocene,3.786459259,0.313199048,540,-0.16054461,0.20257345,538,2,9.362,113.285,2772.3
dsdp586,Early Pleistocene,3.778461538,0.337881788,13,-0.21,0.143874946,11,2,-0.4973,158.4982,2207
odp806,Early Pleistocene,2.918585859,0.249783704,198,-0.079848485,0.206494742,198,1,0.319,159.361,2520.5
odp849,Early Pleistocene,4.329667774,0.343727444,301,-0.061063123,0.346678813,301,2,0.1831,-110.5197,3839.1
odp1123,Early Pleistocene,4.033205148,0.251898995,269,0.008116027,0.333422598,268,2,-41.786,-171.499,3290
dsdp593,Early Pleistocene,2.669207142,0.273557717,61,0.912047633,0.173984772,61,0,-40.5078,167.674,1068
odp846,Early Pleistocene,3.834743151,0.445003058,584,-0.37614726,0.276278973,584,2,-3.0949,-90.818,3295.8
