,Unnamed: 0,Site,TimePeriod,d18O,std_d18O,num_d18O,d13C,std_d13C,num_d13C,cluster,cen_x,cen_y,c
5,5,odp1209,G20,3.69375,0.0420671232335044,8,-0.09125,0.1356926674511191,8,1,3.627011396011396,0.07479380341880343,#81DF20
21,21,odp1148,G20,3.68,0.1377921139494805,4,0.1545,0.0745050333870135,4,1,3.627011396011396,0.07479380341880343,#81DF20
29,29,odp1014,G20,1.9966666666666668,0.1365039681962883,3,-0.32,0.0964365076099295,3,2,1.9966666666666668,-0.32,#2095DF
37,37,odp1125,G20,3.09,0.0990867388613724,12,-0.7989999999999999,0.1220610047840377,10,0,3.339317155067155,-0.3827972883597883,#DF2020
53,53,odp1208,G20,3.567777777777778,0.0951651735479438,27,-0.3392592592592592,0.106443409519798,27,0,3.339317155067155,-0.3827972883597883,#DF2020
61,61,odp1239,G20,3.1493333333333333,0.1391539058877239,15,-0.342,0.1680646134250583,15,0,3.339317155067155,-0.3827972883597883,#DF2020
69,69,dsdp594,G20,3.62625,0.1091443997647154,8,-0.105,0.4665986344968079,8,1,3.627011396011396,0.07479380341880343,#81DF20
77,77,odp1143,G20,3.3563333333333336,0.1388721234325546,6,-0.4418333333333333,0.1787751847060063,6,0,3.339317155067155,-0.3827972883597883,#DF2020
85,85,odp1241,G20,3.638571428571428,0.0644020112078734,7,-0.3242857142857143,0.0680336051416609,7,0,3.339317155067155,-0.3827972883597883,#DF2020
101,101,iodpU1338,G20,3.578333333333333,0.2090199352533948,3,-0.356,0.1585276001206099,3,0,3.339317155067155,-0.3827972883597883,#DF2020
109,109,odp806,G20,2.8911111111111114,0.1025237099948646,9,-0.09,0.0798435971133565,9,0,3.339317155067155,-0.3827972883597883,#DF2020
117,117,odp849,G20,3.802222222222222,0.3787406031104196,9,0.1366666666666666,0.5375872022286244,9,1,3.627011396011396,0.07479380341880343,#81DF20
125,125,odp1123,G20,3.4799230769230767,0.1378032785885139,13,0.1769230769230769,0.1259520156901439,13,1,3.627011396011396,0.07479380341880343,#81DF20
141,141,odp846,G20,3.443076923076924,0.1310460870193265,13,-0.37,0.1363207003111902,13,0,3.339317155067155,-0.3827972883597883,#DF2020
149,149,odp1123,G20,3.4799230769230767,0.1378032785885139,13,0.1769230769230769,0.1259520156901439,13,1,3.627011396011396,0.07479380341880343,#81DF20
