,Unnamed: 0.1,Unnamed: 0,Site,TimePeriod,d18O,std_d18O,num_d18O,d13C,std_d13C,num_d13C,cluster,cen_x,cen_y,c,latitude,longitude
0,1,1,h4_odp1209,M2,3.8375,0.1209338662244782,4,-0.255,0.1554563175514802,4,1,3.887972751322751,-0.187605291005291,#81DF20,32.6517,158.5059
1,17,17,h6_odp1148,M2,2.7475,0.1209152595828998,2,-0.3055,0.0148492424049175,2,2,2.8125793650793653,-0.3686587301587301,#2095DF,18.8361,116.5655
2,33,33,h15_odp1125,M2,2.698571428571428,0.1371651767552017,7,-0.6371428571428571,0.1951678154575599,7,2,2.8125793650793653,-0.3686587301587301,#2095DF,-42.5498,-178.1665
3,41,41,h5_odp1210,M2,3.9244,0.0966348798312494,5,-0.4018,0.0800543565335453,5,1,3.887972751322751,-0.187605291005291,#81DF20,32.2235,158.2594
4,49,49,h2_odp1208,M2,3.842222222222222,0.1298824254641268,9,-0.3688888888888889,0.1296576689251781,9,1,3.887972751322751,-0.187605291005291,#81DF20,36.1272,158.2016
5,57,57,h12_odp1239,M2,3.407,0.1144115378797085,10,-0.447,0.0761650255111301,10,0,3.5892733333333333,-0.4254866666666667,#DF2020,-0.672,-82.081
6,65,65,h16_dsdp594,M2,3.554,0.1188696765369536,5,-0.3979999999999999,0.1702057578344516,5,0,3.5892733333333333,-0.4254866666666667,#DF2020,-45.5235,174.948
7,73,73,h7_odp1143,M2,3.6487,0.0804833316076482,10,-0.3360999999999999,0.0936274532388871,10,0,3.5892733333333333,-0.4254866666666667,#DF2020,9.362,113.285
8,81,81,h8_odp1241,M2,3.606666666666667,0.1372103008766713,6,-0.5283333333333334,0.1075949193348211,6,0,3.5892733333333333,-0.4254866666666667,#DF2020,5.8428,-86.4445
9,105,105,h9_odp806,M2,2.991666666666667,0.1873410437321909,6,-0.1633333333333333,0.134412301024373,6,2,2.8125793650793653,-0.3686587301587301,#2095DF,0.319,159.361
10,113,113,h10_odp849,M2,3.9657142857142857,0.3881519093884568,7,-0.0271428571428571,0.5208555233368234,7,1,3.887972751322751,-0.187605291005291,#81DF20,0.1831,-110.5197
11,121,121,mp1_odp1123,M2,3.879,0.1340223861897705,5,-0.0364,0.1817547798546162,5,1,3.887972751322751,-0.187605291005291,#81DF20,-41.786,-171.499
12,137,137,h13_odp846,M2,3.73,0.1776231966833159,5,-0.418,0.1515585695366646,5,0,3.5892733333333333,-0.4254866666666667,#DF2020,-3.0949,-90.818
13,145,145,odp1123,M2,3.879,0.1340223861897705,5,-0.0364,0.1817547798546162,5,1,3.887972751322751,-0.187605291005291,#81DF20,-41.786,-171.499
