,Unnamed: 0,Site,TimePeriod,d18O,std_d18O,num_d18O,d13C,std_d13C,num_d13C,predicted_cluster
2,2,odp1209,Mid-Pliocene,3.765,0.1537313674346695,4,-0.285,0.0369684550213647,4,2
6,6,odp1018,Mid-Pliocene,2.6922222222222225,0.2249164764610361,54,-0.3407407407407407,0.2510194448744984,54,0
10,10,odp1148,Mid-Pliocene,2.543288888888889,0.4372036462368861,45,-0.2456444444444445,0.3732446891514974,45,0
14,14,odp1014,Mid-Pliocene,1.682,1.0215527397055917,5,-0.22,0.1568438714135812,4,0
18,18,odp1125,Mid-Pliocene,2.7647231270358303,0.1295246647442787,307,-0.5070333333333333,0.178442346784544,300,0
22,22,odp1210,Mid-Pliocene,3.8986666666666663,0.1146051191410459,3,-0.297,0.1556181223379847,3,2
26,26,odp1208,Mid-Pliocene,3.23,0.1991430918071042,139,0.0167883211678832,0.1831783697839885,137,2
30,30,odp1239,Mid-Pliocene,2.935757575757576,0.1754155615555148,231,-0.2074025974025974,0.1811202046017045,231,0
34,34,dsdp594,Mid-Pliocene,3.2171317829457364,0.2437794655217652,129,0.1373643410852713,0.4326418108909583,129,2
38,38,odp1143,Mid-Pliocene,3.012150234741784,0.2303210351006835,213,-0.1892441314553991,0.2317379508292689,213,0
42,42,odp1241,Mid-Pliocene,3.0832340425531912,0.1950119668436283,235,-0.1827467811158798,0.1582534259051437,233,0
46,46,dsdp586,Mid-Pliocene,3.1185714285714288,0.162379287370751,14,-0.0099999999999999,0.1510518674716293,13,2
50,50,iodpU1338,Mid-Pliocene,3.2250869565217397,0.1707930467616711,23,-0.0154782608695652,0.1296088063664928,23,2
54,54,odp806,Mid-Pliocene,2.4703879310344834,0.1795408415740091,232,0.0882327586206896,0.1631027009078615,232,0
58,58,odp849,Mid-Pliocene,3.805941176470588,0.2081888567373711,170,-0.0693529411764705,0.2122216774410985,170,2
62,62,odp1123,Mid-Pliocene,3.3274402544875445,0.1670189796293733,281,0.2356126057615658,0.2477302474800516,281,2
66,66,dsdp593,Mid-Pliocene,1.9965550425,0.1377665371522871,12,0.8606666666666666,0.0879114568325667,12,1
70,70,odp846,Mid-Pliocene,3.0745662100456617,0.2427105516464508,219,-0.2778082191780822,0.180764786409106,219,0
74,74,odp1123,Mid-Pliocene,3.3274402544875445,0.1670189796293733,281,0.2356126057615658,0.2477302474800516,281,2
