,Unnamed: 0,Site,TimePeriod,d18O,std_d18O,num_d18O,d13C,std_d13C,num_d13C,cluster,cen_x,cen_y,c
15,15,odp1018,iNHG,3.18,0.1571623364550171,3,-0.8133333333333335,0.251064400768674,3,0,2.8515625,-0.3484143518518519,#DF2020
23,23,odp1148,iNHG,3.312095238095237,0.3970890208456921,21,-0.2304285714285714,0.2126312703786936,21,1,3.5722984661785118,-0.04390852112581082,#81DF20
31,31,odp1014,iNHG,2.56,0.333841279652472,9,-0.2722222222222222,0.2132356547213538,9,0,2.8515625,-0.3484143518518519,#DF2020
55,55,odp1208,iNHG,3.5958878504672898,0.3099328998318283,107,-0.12803738317757,0.2521022525863769,107,1,3.5722984661785118,-0.04390852112581082,#81DF20
63,63,odp1239,iNHG,3.46575,0.2673026470654661,40,-0.3835,0.2074701090611516,40,1,3.5722984661785118,-0.04390852112581082,#81DF20
71,71,dsdp594,iNHG,3.4933333333333336,0.1887640963159335,24,0.3516666666666667,0.6122209509267248,24,1,3.5722984661785118,-0.04390852112581082,#81DF20
79,79,odp1143,iNHG,3.447518518518519,0.2681653925803585,81,-0.1021481481481481,0.2744520045067585,81,1,3.5722984661785118,-0.04390852112581082,#81DF20
87,87,odp1241,iNHG,3.63,0.2495561276938821,24,-0.12125,0.2028345331201937,24,1,3.5722984661785118,-0.04390852112581082,#81DF20
95,95,dsdp586,iNHG,3.59,0.2121320343559644,2,-0.185,0.0070710678118654,2,1,3.5722984661785118,-0.04390852112581082,#81DF20
111,111,odp806,iNHG,2.8146875,0.2348504585970097,32,0.0403125,0.1950762361314822,32,0,2.8515625,-0.3484143518518519,#DF2020
119,119,odp849,iNHG,4.05074074074074,0.2692714661955895,27,-0.0962962962962963,0.2160510649778488,27,1,3.5722984661785118,-0.04390852112581082,#81DF20
127,127,odp1123,iNHG,3.667,0.2119681882276508,40,0.321,0.1950811796833991,40,1,3.5722984661785118,-0.04390852112581082,#81DF20
135,135,dsdp593,iNHG,2.1830316916666668,0.0803010145094813,6,1.0014999999999998,0.1857457940304436,6,2,2.1830316916666668,1.0014999999999998,#2095DF
143,143,odp846,iNHG,3.375957446808512,0.2626756933730102,47,-0.2299999999999999,0.2837022321409176,47,1,3.5722984661785118,-0.04390852112581082,#81DF20
151,151,odp1123,iNHG,3.667,0.2119681882276508,40,0.321,0.1950811796833991,40,1,3.5722984661785118,-0.04390852112581082,#81DF20
