,Unnamed: 0,Site,TimePeriod,d18O,std_d18O,num_d18O,d13C,std_d13C,num_d13C,cluster,cen_x,cen_y,c
2,2,odp1209,mPWP-1,3.410625,0.1088928890714291,32,0.165,0.0986031472376074,32,0,3.2546264163036516,0.12173197159414352,#DF2020
10,10,odp1018,mPWP-1,2.505,0.4737615433949868,2,-0.35,0.0565685424949238,2,2,2.6746666666666665,-0.5702872503840246,#2095DF
18,18,odp1148,mPWP-1,2.740428571428571,0.3985431206878611,7,-0.7545714285714286,0.5645835802143195,7,2,2.6746666666666665,-0.5702872503840246,#2095DF
34,34,odp1125,mPWP-1,2.778571428571428,0.1353711402852166,63,-0.6062903225806453,0.1537214200649326,62,2,2.6746666666666665,-0.5702872503840246,#2095DF
42,42,odp1210,mPWP-1,3.45156,0.1087110389978864,25,0.1513333333333333,0.1233805236785304,24,0,3.2546264163036516,0.12173197159414352,#DF2020
50,50,odp1208,mPWP-1,3.244225352112676,0.1774796726536066,71,0.1005797101449275,0.1601551091724282,69,0,3.2546264163036516,0.12173197159414352,#DF2020
58,58,odp1239,mPWP-1,3.0315254237288136,0.2807859263058875,59,-0.1203389830508474,0.1661113679359985,59,0,3.2546264163036516,0.12173197159414352,#DF2020
66,66,dsdp594,mPWP-1,3.2697297297297294,0.151464819649949,37,0.1705405405405405,0.3954740189945474,37,0,3.2546264163036516,0.12173197159414352,#DF2020
74,74,odp1143,mPWP-1,3.108222222222222,0.1952049398797558,54,0.2213888888888889,0.3070559175101294,54,0,3.2546264163036516,0.12173197159414352,#DF2020
82,82,odp1241,mPWP-1,3.1528205128205125,0.114016358889709,39,-0.0892307692307692,0.1236375137966376,39,0,3.2546264163036516,0.12173197159414352,#DF2020
90,90,dsdp586,mPWP-1,3.106666666666667,0.2079262689833424,3,-0.01,0.13114877048604,3,0,3.2546264163036516,0.12173197159414352,#DF2020
98,98,iodpU1338,mPWP-1,3.279428571428572,0.1601416268786497,14,0.0605714285714285,0.2896373632627569,14,0,3.2546264163036516,0.12173197159414352,#DF2020
106,106,odp806,mPWP-1,2.6312121212121213,0.1142026043857356,33,0.2945454545454545,0.1076478898159094,33,0,3.2546264163036516,0.12173197159414352,#DF2020
114,114,odp849,mPWP-1,3.78525,0.111952084530701,40,0.1529999999999999,0.1690577203812734,40,0,3.2546264163036516,0.12173197159414352,#DF2020
122,122,odp1123,mPWP-1,3.454593023255814,0.171099116909787,43,0.2885426356511628,0.2005340261042607,43,0,3.2546264163036516,0.12173197159414352,#DF2020
130,130,dsdp593,mPWP-1,1.959416824,0.1280612161502326,10,0.8045000000000002,0.1190595089300584,10,1,1.959416824,0.8045000000000002,#81DF20
138,138,odp846,mPWP-1,3.184318181818182,0.1527940965508922,44,0.0297727272727272,0.1461201900374313,44,0,3.2546264163036516,0.12173197159414352,#DF2020
146,146,odp1123,mPWP-1,3.454593023255814,0.171099116909787,43,0.2885426356511628,0.2005340261042607,43,0,3.2546264163036516,0.12173197159414352,#DF2020
