,latitude,longitude,depth,d13C,Core,speciesNam,age_calkaB,d18O,Author,FileName,sitename,datadoi,predicted_cluster,cluster,cen_x,cen_y,c
0,-36.22,-73.68,1016,0.62,1234A 1H-1,"Cib.w, wuellerstorfi, CW",,2.66,,,,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
1,-36.17,-73.57,509,0.67,RR970245P,"Cib.w, wuellerstorfi, CW",,3.22,,,,,2,0,2.7160713812868216,0.24484144573643407,#DF2020
2,-23.61,-73.61,3396,0.15,RR9702A-50MC2,"Cib.w, wuellerstorfi, CW",,3.17,,,,,2,0,2.7160713812868216,0.24484144573643407,#DF2020
3,-21.36,-81.44,1323,0.18,R9702A55T,"Cib.w, wuellerstorfi, CW",,3.03,,,,,2,0,2.7160713812868216,0.24484144573643407,#DF2020
4,-20.88,-81.5,2450,0.23,RR9702-61T,"Cib.w, wuellerstorfi, CW",,3.19,,,,,2,0,2.7160713812868216,0.24484144573643407,#DF2020
5,-18.09,-79.04,2901,-0.08,RR9702-63T,"Cib.w, wuellerstorfi, CW",,3.26,,,,,2,0,2.7160713812868216,0.24484144573643407,#DF2020
6,-14.8,-113.5,3044,0.09,GS7202-35,"Cib.w, wuellerstorfi, CW",,3.05,,,,,2,0,2.7160713812868216,0.24484144573643407,#DF2020
7,-13.17,-77.26,1419,0.27,RR9702-83MC,"Cib.w, wuellerstorfi, CW",,2.82,,,,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
8,-12.78,-107.93,3603,-0.08,GS7202-29,"Cib.w, wuellerstorfi, CW",,3.12,,,,,2,0,2.7160713812868216,0.24484144573643407,#DF2020
9,-7.56,-100.4,3961,-0.22,GS7202-22,"Cib.w, wuellerstorfi, CW",,2.39,,,,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
10,-6.38,-106.94,3175,0.37,Y71-9-101,"Cib.w, wuellerstorfi, CW",,2.6,,,,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
11,-2.3,-97.93,3371,0.21,GS7202-17,"Cib.w, wuellerstorfi, CW",,2.6,,,,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
