latitude,longitude,depth,d13C,Core,d18O
-36.220,-73.680,1016.000,0.620,1234A 1H-1,2.6600
-36.170,-73.570,509.000,0.670,RR970245P,3.2200
-23.610,-73.610,3396.000,0.150,RR9702A-50MC2,3.1700
-21.360,-81.440,1323.000,0.180,R9702A55T,3.0300
-20.880,-81.500,2450.000,0.230,RR9702-61T,3.1900
-18.090,-79.040,2901.000,-0.080,RR9702-63T,3.2600
-14.800,-113.500,3044.000,0.090,GS7202-35,3.0500
-13.170,-77.260,1419.000,0.270,RR9702-83MC,2.8200
-12.780,-107.930,3603.000,-0.080,GS7202-29,3.1200
-7.560,-100.400,3961.000,-0.220,GS7202-22,2.3900
-7.000,-9.970,3585.000,1.020,rc24-20g,2.5900
-6.380,-106.940,3175.000,0.370,Y71-9-101,2.6000
-5.050,-10.180,3559.000,0.520,rc24-17g,2.6000
-2.300,-97.930,3371.000,0.210,GS7202-17,2.6000
-1.850,-82.790,2203.000,0.200,ME05A-25MC,2.7500
-1.840,-139.710,4354.000,0.190,TTN13-18PC,2.4000
-1.420,146.400,1900.000,0.450,MD97-2138,2.5000
-0.670,-82.080,1415.000,0.440,1239A 1H-1,2.6308
-0.510,-82.000,1343.000,0.420,ME0005A-29MC,2.6040
-0.470,-82.070,1373.000,0.360,V19-27-TC,2.3300
-0.100,-95.650,3231.000,0.180,RC13-110,2.7400
0.080,-86.480,2740.000,-0.010,Y69-71P,2.7100
0.110,-139.400,4298.000,0.270,TTN13-72PC,2.3900
0.180,-110.520,3839.000,0.220,849B01H1,3.0100
0.950,-138.960,4287.000,0.120,W8402A-14GC,2.6400
1.870,-82.780,2202.000,0.330,1238B-1H-1,2.9240
2.980,-86.560,2870.000,-0.040,Y69-106P,2.7967
3.210,-86.490,2675.000,0.200,ME0005A-20MC,2.7950
5.350,-110.090,3846.000,-0.130,VNTR01-4PC,2.9100
5.350,-27.320,4245.000,0.900,v30-36,2.6367
5.380,-98.990,3410.000,-0.240,GS7202-14,3.3100
5.850,-86.450,2045.000,0.210,ME05A-14MC,2.9360
7.320,-84.110,1003.000,0.350,ME05A-38MC,2.9200
7.860,-83.610,1368.000,0.400,ME0005A-43JC,2.5950
8.720,-41.250,3720.000,0.980,v22-26,2.9100
14.920,-48.050,2845.000,0.920,v23-23,2.9600
15.580,-95.280,1079.000,0.280,ME05A,2.7400
23.570,-20.070,3901.000,0.830,v30-239,2.8350
23.730,-112.440,3054.000,0.030,Y74-2-22,2.9100
33.350,-120.430,1430.000,0.020,V1-81-G15,2.4100
34.550,-121.110,938.000,-0.020,EW950412P,3.0200
34.780,-32.420,3252.000,0.850,v32-08,2.6300
36.990,-123.270,2510.000,-0.010,EW9504-13,3.1300
41.000,-126.440,3075.000,-0.210,EW9504-18,2.5200
56.990,-135.480,216.000,0.940,EW0408-40JC,1.3176
-46.600,7.630,2494.000,0.620,RC13-253,2.7600
-43.820,51.320,3284.000,0.280,MD73-025,3.0000
-37.270,-10.100,3308.000,0.810,RC12-294,2.7000
-30.270,-39.100,4181.000,0.130,CH115-61,2.7200
-19.580,37.030,1222.000,0.680,MD79-256,2.4100
-17.880,38.670,1934.000,0.670,MD79-254,2.7300
-10.070,-12.820,2630.000,0.800,V22-174,2.6900
-4.330,10.430,1000.000,0.380,BT-4,2.6000
-3.580,-83.930,2673.000,0.020,V19-29,2.6000
-3.380,-83.350,3091.000,0.030,V19-30,2.6900
-2.370,-84.650,2720.000,0.190,V19-28,2.6100
-2.280,5.180,3731.000,0.980,RC13-205,2.5900
-1.620,159.230,2169.000,0.250,ERDC-112,2.8200
-0.550,-17.270,3937.000,0.670,V22-182,2.4700
0.680,-108.620,3588.000,0.420,RC10-65,2.6400
8.580,75.330,1878.000,0.020,MD76-125,2.5800
12.870,46.820,1649.000,0.050,MD76-136,2.5600
14.450,50.520,1895.000,-0.150,MD76-135,2.3800
14.580,-19.670,1082.000,0.500,V22-198,2.2100
15.000,72.330,1954.000,0.190,MD76-129,2.5600
16.550,67.900,2910.000,0.150,MD77-200,2.6000
20.700,59.570,2442.000,-0.200,MD77-203,2.5400
25.170,-16.830,2573.000,0.960,M12392-1,2.6600
35.530,-73.420,3678.000,1.030,RC10-288,2.5700
41.000,-32.930,3371.000,1.090,V30-97,2.6800
41.270,-126.400,2743.000,0.010,Y69-10-2,2.8300
41.750,-51.930,3732.000,1.120,D-114,2.5900
42.000,-52.000,3209.000,1.180,CH82-11,2.4400
42.100,-9.780,2280.000,1.000,SU-8132,2.7100
42.830,-23.070,3520.000,1.050,SL58/79/8,2.5000
44.000,-24.530,3331.000,1.100,V29-179,2.7900
45.630,-22.750,3625.000,0.920,N079-28,2.9000
45.700,-31.370,3454.000,1.150,N075-08,2.8700
62.770,-59.370,1057.000,1.270,HU75-58,2.8100
-45.990,-177.990,2830.000,0.470,Q208,3.1162
-44.150,-14.230,3783.000,0.191,PS2498_1,2.6350
-43.520,79.870,3193.000,0.430,RC11_120,2.6767
-43.490,51.190,3262.000,0.268,MD84_527,2.9423
-42.920,8.900,3701.000,0.200,ODP1090_TTN057_6,2.7025
-42.920,8.900,3701.000,0.201,ODP1090_TTN057_6,2.7025
-42.900,8.900,3751.000,0.176,TN057_6,2.7088
-41.280,-14.490,3134.000,0.665,PS2495_3,2.4200
-41.140,13.560,2082.000,0.500,ODP1088B,3.3800
-36.920,177.430,2045.000,0.380,H214,2.6067
-32.740,-72.330,2463.000,-0.300,GIK17747_2,3.2637
-32.740,-72.330,2464.000,0.240,GIK17747_1,2.9433
-28.990,13.840,2004.000,0.820,GeoB1720_3,3.3650
-28.990,13.830,1997.000,0.780,GeoB1720_2,3.2733
-27.220,-110.080,3163.000,0.130,GIK17790_3,3.7600
-24.690,7.240,3210.000,0.880,GeoB1214_1,2.4500
-24.690,7.240,3220.000,0.680,GeoB1214_2,2.3800
-24.470,7.540,4089.000,0.080,GeoB1211_1,2.6150
-22.910,6.030,2490.000,0.903,GeoB1032_2,2.2767
-22.450,-177.330,3125.000,0.660,SO35_2_101KL,2.7500
-22.400,-177.450,2910.000,0.510,SO35_2_102KL,2.4800
-22.330,11.200,3204.000,0.500,RC13_228,2.6762
-21.720,5.430,3731.000,0.620,GeoB1034_1,2.5325
-21.610,5.040,4447.000,0.600,GeoB1035_2,2.3100
-21.600,5.030,4450.000,0.600,GeoB1035_3,2.3100
-19.700,8.880,2675.000,0.650,V29_135,2.5400
-18.590,-113.080,3324.000,0.300,SO26_189KA,2.5800
-17.640,-16.210,3427.000,0.870,INMD_115BX,2.6550
-16.020,177.690,3410.000,0.330,SO35_2_272KL,2.5250
-14.390,177.140,2890.000,0.210,SO35_2_211KL,3.6267
-13.080,121.790,1783.000,0.567,MD01_2378,2.3567
-10.540,-109.740,3371.000,0.080,SO12_98,3.2325
-5.780,-10.750,3125.000,0.960,GeoB1112_4,2.5333
-5.750,-11.040,2373.000,0.900,GeoB1113_7,2.8583
-5.750,-11.040,2374.000,0.960,GeoB1113_4,2.8400
-4.240,-103.910,3327.000,0.050,SO12_229,2.7400
-4.000,10.000,1000.000,0.380,BT4,2.5200
-3.810,-83.980,3210.000,-0.010,TR163_31,2.8133
-3.560,-16.430,4671.000,0.440,GeoB1118_3,2.7400
-3.560,-16.430,4675.000,0.214,GeoB1118_2,2.8220
