,Site,TimePeriod,d18O,d13C
0,h4_odp1209,3500 ka - M2,,
1,h4_odp1209,M2,3.8375000000000004,-0.255
2,h4_odp1209,mPWP-1,3.4106249999999996,0.165
3,h4_odp1209,KM2,3.67625,-0.19625
4,h4_odp1209,mPWP-2,3.5438888888888886,-0.04611111111111112
5,h4_odp1209,G20,3.69375,-0.09125000000000001
6,h4_odp1209,G20 - 2800 ka,,
7,h4_odp1209,iNHG,,
8,h1_odp1018,3500 ka - M2,2.657222222222222,-0.2766666666666666
9,h1_odp1018,M2,2.67,-0.03
10,h1_odp1018,mPWP-1,2.505,-0.35
11,h1_odp1018,KM2,2.77,0.01
12,h1_odp1018,mPWP-2,2.88,-0.26
13,h1_odp1018,G20,,
14,h1_odp1018,G20 - 2800 ka,2.6740000000000004,-0.174
15,h1_odp1018,iNHG,3.1799999999999997,-0.8133333333333335
16,h6_odp1148,3500 ka - M2,3.0316666666666667,-0.10888888888888888
17,h6_odp1148,M2,2.7475,-0.3055
18,h6_odp1148,mPWP-1,2.740428571428571,-0.7545714285714286
19,h6_odp1148,KM2,3.1672000000000002,-0.37160000000000004
20,h6_odp1148,mPWP-2,2.7600000000000002,-0.25799999999999995
21,h6_odp1148,G20,3.68,0.1545
22,h6_odp1148,G20 - 2800 ka,3.360186046511628,0.057
23,h6_odp1148,iNHG,3.3120952380952375,-0.23042857142857145
24,h3_odp1014,3500 ka - M2,1.91,-0.07
25,h3_odp1014,M2,,
26,h3_odp1014,mPWP-1,1.93,-0.27
27,h3_odp1014,KM2,1.84,-0.05
28,h3_odp1014,mPWP-2,1.9240000000000002,-0.126
29,h3_odp1014,G20,1.9966666666666668,-0.32
30,h3_odp1014,G20 - 2800 ka,2.1584615384615384,-0.2730769230769231
31,h3_odp1014,iNHG,2.56,-0.27222222222222225
32,h15_odp1125,3500 ka - M2,2.816666666666667,-0.5559259259259259
33,h15_odp1125,M2,2.698571428571428,-0.6371428571428571
34,h15_odp1125,mPWP-1,2.778571428571428,-0.6062903225806453
35,h15_odp1125,KM2,2.8173333333333335,-0.7546666666666667
36,h15_odp1125,mPWP-2,2.8323076923076917,-0.6429729729729728
