latitude,longitude,depth,d13C,dataset,datasetName,Core,coreflag,speciesflag,speciesName,depthtop,depthbottom,adjdepthmean,age_calkaBP,d18O,Author,FileName,AdditionalNotes,RetrievalNb, sitename,variabledescription,citation,References,datadoi,DataSource,Date,Cruise
-60,-170,4005,0.43,1,P14,NBP9802-7,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Matsumoto et al. 2001,NaN,NaN,NaN,NaN
-59,-170,4324,0.27,1,P14,NBP9802-8,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Matsumoto et al. 2001,NaN,NaN,NaN,NaN
-56.07,-115.08,3094,0.21,1,P14,E11-2,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Ninneman and Charles 2002 uncited,NaN,NaN,NaN,NaN
-53.4,-123.1,2964,0.46,1,P14,RC12-225,3,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Matsumoto & Lynch-Steiglitz, 1999",NaN,NaN,NaN,NaN
-51.9,4.52,3744,-0.02,1,P14,TN057-15,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Ninnemann and Charles 2002; Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-50.1,-114.5,2891,0.49,1,P14,E25-10,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Matsumoto, K., & Lynch-Stieglitz, J. (1999). Similar glacial and Holocene deep water circulation inferred from southeast Pacific benthic foraminiferal carbon isotope composition. Paleoceanography, 14(2), 149-163. ",NaN,NaN,NaN,NaN
-46.76,7.58,2476,0.54,1,P14,PS1754-3,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"mackensen et al., 1993",NaN,NaN,NaN,NaN
-46.51,-15.33,3175,0.31,1,P14,PS2499-5,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,mackensen et al. 2001,NaN,NaN,NaN,NaN
-46.48,88.02,3420,0.1,1,P14,MD02-2488,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Govin, A et al. (2009): Age model, stable isotopes of planktic and benthic foraminifera, Sea Surface Temperatures from sediment core MD02-2488 from the Southern Ocean. doi:10.1594/PANGAEA.763566",NaN,NaN,NaN,NaN
-46.1,-13.23,2714,0.29,1,P14,RC15-93,3,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Charles et al., 1991",NaN,NaN,NaN,NaN
-45.53,174.93,1210,0.98,1,P14,MD97-2120,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Pahnke, K., & Zahn, R. (2005). Southern Hemisphere water mass conversion linked with North Atlantic climate variability. Science, 307(5716), 1741-1746. ",NaN,NaN,NaN,NaN
-44.3,-111.2,2869,0.46,1,P14,E20-18,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Matsumoto, K., & Lynch-Stieglitz, J. (1999). Similar glacial and Holocene deep water circulation inferred from southeast Pacific benthic foraminiferal carbon isotope composition. Paleoceanography, 14(2), 149-163. ",NaN,NaN,NaN,NaN
-43.18,-3.25,4171,0.12,1,P14,V22-108,3,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Ninnemann and Charles 2002; Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-42.98,-20.86,3762,-0.18,1,P14,RC15-94,3,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Charles and Fairbanks, 1990",NaN,NaN,NaN,NaN
-42.91,8.9,3702,0.2,1,P14,ODP1090_TTN057-6,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Hodell, D. A., Venz, K. A., Charles, C. D., and Ninnemann, U. S.: Pleistocene vertical carbon isotope and carbonate gradients in the South Atlantic sector of the Southern Ocean, Geochem. Geophy. Geosy., 4(1), 1004, doi:10.1029/2002GC000367, 2003.",NaN,NaN,NaN,NaN
-42.05,144.59,1042,1.03,1,P14,SO36-SL17,3,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Lynch-Stieglitz, J., Fairbanks, R. G., & Charles, C. D. (1994). Glacial-interglacial history of Antarctic Intermediate Water: relative strengths of Antarctic versus Indian Ocean sources.†Paleoceanography,†9(1), 7-29.",NaN,NaN,NaN,NaN
-42,1,1335,0.58,1,P14,TN057-20,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Ninnemann and Charles 2002,NaN,NaN,NaN,NaN
-41.6,9.8,4718,0.22,1,P14,RC11-83,3,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Charles et al., 1996",NaN,NaN,NaN,NaN
-41.39,144.23,814,1.13,1,P14,RS78-GC18,2,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Lynch-Stieglitz, J., Fairbanks, R. G., & Charles, C. D. (1994). Glacial-interglacial history of Antarctic Intermediate Water: relative strengths of Antarctic versus Indian Ocean sources.†Paleoceanography,†9(1), 7-29.",NaN,NaN,NaN,NaN
-41.14,13.56,2082,0.55,1,P14,ODP1088,4,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Hodell et al. 2003,NaN,NaN,NaN,NaN
-41.13,7.82,4981,0.27,1,P14,TN057-21,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Ninnemann and Charles 2002; Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-40.94,9.89,4621,0.27,1,P14,ODP1089,4,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Hodell, D. A., Charles, C. D., and Sierro, F. J.: Late Pleistocene evolution of the oceanís carbonate system, Earth Planet. Sc. Lett., 192, 109ñ124, 2001.",NaN,NaN,NaN,NaN
-38.65,141.19,506,1.61,1,P14,RS67-GC27,2,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Lynch-Stieglitz, J., Fairbanks, R. G., & Charles, C. D. (1994). Glacial-interglacial history of Antarctic Intermediate Water: relative strengths of Antarctic versus Indian Ocean sources.†Paleoceanography,†9(1), 7-29.",NaN,NaN,NaN,NaN
-36.06,-8.78,3825,0.68,1,P14,GeoB2019-1,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Bickert and Mackensen 2004;  curry and lohmann, 1985",NaN,NaN,NaN,NaN
-35.13,17.54,2840,0.55,1,P14,GeoB3603-2,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Bickert and Mackensen 2004,NaN,NaN,NaN,NaN
-34.96,130.01,3504,0.35,1,P14,RS102-GC18,2,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"McCorkle, D. C., Heggie, D. T., & Veeh, H. H. (1998). Glacial and Holocene stable isotope distributions in the southeastern Indian Ocean. Paleoceanography, 13(1), 20-34. ",NaN,NaN,NaN,NaN
-34.89,130.06,3001,0.47,1,P14,RS102-GC17,2,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"McCorkle, D. C., Heggie, D. T., & Veeh, H. H. (1998). Glacial and Holocene stable isotope distributions in the southeastern Indian Ocean. Paleoceanography, 13(1), 20-34. ",NaN,NaN,NaN,NaN
-34.75,130.14,2495,0.36,1,P14,RS102-GC16,2,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"McCorkle, D. C., Heggie, D. T., & Veeh, H. H. (1998). Glacial and Holocene stable isotope distributions in the southeastern Indian Ocean. Paleoceanography, 13(1), 20-34. ",NaN,NaN,NaN,NaN
-34.59,130.26,2003,0.53,1,P14,RS102-GC15,2,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"McCorkle, D. C., Heggie, D. T., & Veeh, H. H. (1998). Glacial and Holocene stable isotope distributions in the southeastern Indian Ocean. Paleoceanography, 13(1), 20-34. ",NaN,NaN,NaN,NaN
-34.38,130.42,1502,0.66,1,P14,RS102-GC14,2,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"McCorkle, D. C., Heggie, D. T., & Veeh, H. H. (1998). Glacial and Holocene stable isotope distributions in the southeastern Indian Ocean. Paleoceanography, 13(1), 20-34. ",NaN,NaN,NaN,NaN
